cve_mun,ano,n_encuestados,prop_inseguro,n_valido_percepcion,prop_espera_empeorar,n_valido_expectativa,prop_atestiguo_alguno,indice_atestiguo,n_valido_atestiguo,prop_cambio_habito,indice_habito,n_valido_habito
01001,2013,78,0.7948717948717948,78,0.24358974358974358,78,0.8974358974358975,2.2564102564102564,78,0.8589743589743589,1.6025641025641026,78
01001,2014,167,0.7724550898203593,167,0.2694610778443114,167,0.9101796407185628,2.221556886227545,167,0.8263473053892215,1.5748502994011973,167
01001,2015,179,0.7430167597765364,179,0.4022346368715084,179,0.8268156424581006,2.525139664804469,179,0.6256983240223464,1.4413407821229045,179
01001,2016,976,0.5097636176772867,973,0.3138075313807531,956,0.8360655737704918,2.785641025641026,975,0.6721311475409836,1.525231719876416,971
01001,2017,994,0.5674044265593562,994,0.31947261663286003,986,0.8189134808853119,2.706237424547284,994,0.6277665995975855,1.427565392354124,994
01001,2018,992,0.5868686868686869,990,0.2822085889570552,978,0.8306451612903226,2.950554994954591,991,0.6360887096774194,1.455005055611729,989
01001,2019,1013,0.5308764940239044,1004,0.2578046324269889,993,0.788746298124383,2.5326086956521747,1012,0.6219151036525172,1.402571711177052,1011
01001,2020,754,0.5099601593625498,753,0.37032085561497324,748,0.7984084880636605,2.6286472148541105,754,0.6061007957559682,1.3917662682602927,753
01005,2013,8,0.5,8,0.125,8,0.5,1.375,8,0.75,1.375,8
01005,2014,12,0.8333333333333334,12,0.08333333333333333,12,1,2.1666666666666665,12,0.8333333333333334,1.8333333333333333,12
01005,2015,4,0,4,0.25,4,0.75,2.75,4,0,0,4
01005,2016,69,0.5882352941176471,68,0.2923076923076923,65,0.9420289855072463,3.0434782608695654,69,0.7681159420289855,1.6376811594202898,69
01005,2017,72,0.6111111111111112,72,0.3055555555555556,72,0.9444444444444444,3.333333333333333,72,0.5833333333333334,1.5555555555555558,72
01005,2018,69,0.6521739130434783,69,0.30434782608695654,69,0.8695652173913043,3.231884057971014,69,0.5507246376811594,1.2898550724637683,69
01005,2019,74,0.6081081081081081,74,0.28378378378378377,74,0.8243243243243243,2.945945945945946,74,0.5,1.0810810810810811,74
01005,2020,53,0.6037735849056604,53,0.39622641509433965,53,0.9056603773584906,3.4716981132075473,53,0.5660377358490566,1.207547169811321,53
02002,2016,1010,0.6517857142857143,1008,0.32028112449799195,996,0.8495049504950495,2.834653465346535,1010,0.7910891089108911,1.8897715988083417,1007
02002,2017,1035,0.8077294685990338,1035,0.4644595910418695,1027,0.8608695652173913,3.028073572120041,1033,0.6869565217391305,1.640579710144927,1035
02002,2018,1012,0.751730959446093,1011,0.3079268292682927,984,0.8488142292490118,2.9495548961424354,1011,0.7924901185770751,1.9129574678536108,1011
02002,2019,1036,0.6356589147286822,1032,0.1881091617933723,1026,0.8233590733590733,2.952702702702703,1036,0.8108108108108109,2.0357833655705995,1034
02002,2020,783,0.6176470588235294,782,0.24516129032258063,775,0.7905491698595147,2.423273657289003,782,0.7828863346104725,1.865211810012837,779
02004,2013,83,0.5975609756097561,82,0.19753086419753085,81,0.8072289156626506,2.3975903614457836,83,0.7108433734939759,1.2771084337349397,83
02004,2014,168,0.5272727272727272,165,0.25903614457831325,166,0.7261904761904762,1.9047619047619044,168,0.6726190476190477,1.2142857142857142,168
02004,2015,167,0.7005988023952096,167,0.294478527607362,163,0.7365269461077845,2.119760479041916,167,0.7664670658682635,1.4790419161676644,167
02004,2016,1018,0.6344621513944223,1004,0.33707865168539325,979,0.787819253438114,2.716110019646366,1018,0.7642436149312377,1.7706057596822233,1007
02004,2017,1048,0.7636363636363637,1045,0.48579823702252695,1021,0.8864503816793893,3.3199617956064946,1047,0.7595419847328244,1.8932038834951446,1030
02004,2018,1052,0.7695238095238095,1050,0.42248062015503873,1032,0.8906844106463878,3.4638783269961997,1052,0.7870722433460076,2.143135345666991,1027
02004,2019,1049,0.7349857006673022,1049,0.21470019342359767,1034,0.8646329837940896,3.0705433746425164,1049,0.780743565300286,1.9402546523016644,1021
02004,2020,808,0.7955390334572491,807,0.47547169811320755,795,0.905940594059406,3.3230198019801995,808,0.8428217821782178,2.1390644753476624,791
03003,2013,72,0.4166666666666667,72,0.2638888888888889,72,0.8611111111111112,2.5,72,0.6111111111111112,1.2638888888888886,72
03003,2014,142,0.6690140845070423,142,0.3873239436619718,142,0.9366197183098591,2.9154929577464785,142,0.8098591549295775,2.0211267605633805,142
03003,2015,141,0.8156028368794326,141,0.3829787234042553,141,0.9219858156028369,2.978723404255319,141,0.8865248226950354,2.354609929078014,141
03003,2016,1042,0.6926032660902978,1041,0.41375968992248063,1032,0.8406909788867563,2.7840690978886755,1042,0.6890595009596929,1.6599423631123915,1041
03003,2017,1091,0.736455463728191,1089,0.39098436062557496,1087,0.8056828597616865,2.881651376146793,1090,0.7195233730522457,1.8064220183486213,1090
03003,2018,1094,0.6094182825484764,1083,0.1701923076923077,1040,0.7742230347349177,2.3793418647166362,1094,0.6956124314442413,1.7387717690192477,1091
03003,2019,1070,0.5224719101123596,1068,0.14650283553875237,1058,0.8317757009345794,2.429373246024322,1069,0.5990654205607476,1.301125703564728,1066
03003,2020,801,0.3035264483627204,794,0.2519280205655527,778,0.7240948813982522,1.8551810237203505,801,0.46941323345817726,0.9786967418546367,798
03008,2017,772,0.6376623376623377,770,0.40633608815426997,726,0.8044041450777202,2.423376623376623,770,0.6800518134715026,1.6467532467532464,770
03008,2018,1035,0.4363459669582119,1029,0.1623246492985972,998,0.7169082125603865,2.012584704743466,1033,0.5806763285024155,1.3123181377303594,1031
03008,2019,1029,0.36273538156590684,1009,0.13034623217922606,982,0.6588921282798834,1.7463556851311954,1029,0.5422740524781341,1.2529182879377434,1028
03008,2020,770,0.27645502645502645,756,0.1906040268456376,745,0.7363636363636363,1.8636363636363629,770,0.538961038961039,1.2626788036410919,769
04002,2013,67,0.4925373134328358,67,0.2835820895522388,67,0.8059701492537313,2.3134328358208953,67,0.5522388059701493,1.1641791044776117,67
04002,2014,136,0.45588235294117646,136,0.27941176470588236,136,0.7573529411764706,2.1397058823529407,136,0.4632352941176471,0.8308823529411764,136
04002,2015,137,0.43795620437956206,137,0.2647058823529412,136,0.8248175182481752,2.408759124087591,137,0.5912408759124088,1.2335766423357666,137
04002,2016,1043,0.44701348747591524,1038,0.3469785575048733,1026,0.7535953978907,2.2262703739213805,1043,0.6174496644295302,1.3564547206165716,1038
04002,2017,1080,0.500464252553389,1077,0.3857677902621723,1068,0.8111111111111111,2.3231481481481486,1080,0.5166666666666667,1.0731481481481489,1080
04002,2018,1069,0.5070555032925682,1063,0.2967557251908397,1048,0.754911131898971,2.163704396632366,1069,0.529466791393826,1.059044048734771,1067
04002,2019,1075,0.4789915966386555,1071,0.29924242424242425,1056,0.7134883720930233,2,1073,0.5358139534883721,1.1219739292364994,1074
04002,2020,796,0.4379746835443038,790,0.3490445859872611,785,0.664572864321608,1.8476070528967252,794,0.5376884422110553,1.0872313527180786,791
04003,2017,1033,0.8381782945736435,1032,0.41812865497076024,1026,0.8780251694094869,2.977734753146177,1033,0.8334946757018393,2.208333333333333,1032
04003,2018,1015,0.729064039408867,1015,0.2572283150548355,1003,0.8118226600985222,2.569458128078817,1015,0.7881773399014779,2.012820512820514,1014
04003,2019,1046,0.7509615384615385,1040,0.26953125,1024,0.8575525812619503,2.9225621414913947,1046,0.8068833652007649,2.0985645933014365,1045
04003,2020,782,0.7052767052767053,777,0.3114323258869908,761,0.7570332480818415,2.4846547314578005,782,0.7263427109974424,1.7397435897435898,780
05017,2016,39,0.41025641025641024,39,0.3076923076923077,39,0.8205128205128205,1.9487179487179487,39,0.6410256410256411,1.8205128205128207,39
05017,2017,53,0.4807692307692308,52,0.3137254901960784,51,0.8490566037735849,2.358490566037736,53,0.6226415094339622,1.6981132075471699,53
05017,2018,51,0.5882352941176471,51,0.29411764705882354,51,0.7058823529411765,1.7843137254901962,51,0.49019607843137253,0.9411764705882352,51
05017,2019,53,0.5283018867924528,53,0.2641509433962264,53,0.6037735849056604,1.849056603773585,53,0.6981132075471698,1.679245283018868,53
05017,2020,49,0.5306122448979592,49,0.3673469387755102,49,0.7551020408163265,2.163265306122449,49,0.673469387755102,1.3877551020408165,49
05022,2016,10,0.3,10,0.2222222222222222,9,0.5,1.1,10,0.8,1.9,10
05022,2017,34,0.38235294117647056,34,0.11764705882352941,34,0.4411764705882353,1,34,0.47058823529411764,1.3333333333333335,33
05022,2018,34,0.5,34,0.30303030303030304,33,0.5,1.4117647058823528,34,0.20588235294117646,0.588235294117647,34
05022,2019,40,0.65,40,0.375,40,0.575,1.1,40,0.225,0.4000000000000001,40
05022,2020,26,0.4230769230769231,26,0.34615384615384615,26,0.5384615384615384,1.2307692307692308,26,0.46153846153846156,0.846153846153846,26
05025,2016,230,0.4780701754385965,228,0.2374429223744292,219,0.6695652173913044,1.6913043478260865,230,0.7043478260869566,1.6359649122807016,228
05025,2017,1005,0.41691542288557215,1005,0.17330677290836655,1004,0.6079601990049751,1.686567164179105,1005,0.5890547263681593,1.2603015075376882,995
05025,2018,1005,0.5402985074626866,1005,0.3026973026973027,1001,0.6437810945273632,1.8487562189054725,1005,0.5223880597014925,1.1473259334006056,991
05025,2019,1002,0.49201596806387227,1002,0.22954091816367264,1002,0.5788423153692615,1.5419161676646713,1002,0.4181636726546906,0.9269999999999989,1000
05025,2020,758,0.4973614775725594,758,0.26649076517150394,758,0.6081794195250659,1.646437994722956,758,0.4736147757255937,1.0396825396825407,756
05027,2013,9,0.5555555555555556,9,0,9,0.8888888888888888,2.111111111111111,9,0.6666666666666666,2,9
05027,2014,16,0.25,16,0.1875,16,0.75,2.5625,16,0.6875,1.875,16
05027,2015,8,0.25,8,0.25,8,0.625,1.625,8,0.5,1.25,8
05027,2016,91,0.46153846153846156,91,0.07865168539325842,89,0.5934065934065934,1.7362637362637363,91,0.5714285714285714,1.2444444444444445,90
05027,2017,95,0.2,95,0.10526315789473684,95,0.49473684210526314,1.1473684210526316,95,0.3263157894736842,0.568421052631579,95
05027,2018,92,0.20652173913043478,92,0.125,88,0.5978260869565217,1.434782608695652,92,0.40217391304347827,0.7934782608695651,92
05027,2019,93,0.3010752688172043,93,0.14130434782608695,92,0.6344086021505376,1.3763440860215053,93,0.5698924731182796,1.1612903225806452,93
05027,2020,70,0.32857142857142857,70,0.15942028985507245,69,0.4142857142857143,1.2571428571428571,70,0.5571428571428572,1.2857142857142858,70
05030,2013,85,0.6,85,0.16470588235294117,85,0.7294117647058823,2.3058823529411763,85,0.7529411764705882,2.0588235294117645,85
05030,2014,173,0.5260115606936416,173,0.15028901734104047,173,0.7283236994219653,2.341040462427746,173,0.7456647398843931,1.8670520231213876,173
05030,2015,188,0.48404255319148937,188,0.16489361702127658,188,0.7606382978723404,2.287234042553192,188,0.6914893617021277,1.6329787234042554,188
