"NAME_1","NAME_2","year","ndvi_mean"
"Aguascalientes","Tepezalá",2010,0.321460425853729
"Aguascalientes","Tepezalá",2011,0.276179522275925
"Aguascalientes","Tepezalá",2013,0.338531881570816
"Aguascalientes","Tepezalá",2014,0.341346055269241
"Aguascalientes","Tepezalá",2015,0.361550658941269
"Aguascalientes","Tepezalá",2016,0.331592947244644
"Aguascalientes","Tepezalá",2017,0.331642180681229
"Aguascalientes","Tepezalá",2018,0.364099025726318
"Aguascalientes","Tepezalá",2019,0.313099265098572
"Aguascalientes","Tepezalá",2020,0.338154435157776
"Baja California","Ensenada",2010,0.237235739827156
"Baja California","Ensenada",2011,0.211988627910614
"Baja California","Ensenada",2013,0.225848242640495
"Baja California","Ensenada",2014,0.212759792804718
"Baja California","Ensenada",2015,0.214235931634903
"Baja California","Ensenada",2016,0.207344502210617
"Baja California","Ensenada",2017,0.245402693748474
"Baja California","Ensenada",2018,0.210293978452682
"Baja California","Ensenada",2019,0.244999751448631
"Baja California","Ensenada",2020,0.252682596445084
"Baja California","Mexicali",2010,0.152981787919998
"Baja California","Mexicali",2011,0.142628505825996
"Baja California","Mexicali",2013,0.149047762155533
"Baja California","Mexicali",2014,0.153275892138481
"Baja California","Mexicali",2015,0.147735968232155
"Baja California","Mexicali",2016,0.143778890371323
"Baja California","Mexicali",2017,0.147894293069839
"Baja California","Mexicali",2018,0.14502614736557
"Baja California","Mexicali",2019,0.152184203267097
"Baja California","Mexicali",2020,0.144036650657654
"Baja California","Playas de Rosarito",2010,0.421374768018723
"Baja California","Playas de Rosarito",2011,0.42722487449646
"Baja California","Playas de Rosarito",2013,0.349549889564514
"Baja California","Playas de Rosarito",2014,0.259193331003189
"Baja California","Playas de Rosarito",2015,0.337437510490417
"Baja California","Playas de Rosarito",2016,0.352544158697128
"Baja California","Playas de Rosarito",2017,0.409881889820099
"Baja California","Playas de Rosarito",2018,0.300972670316696
"Baja California","Playas de Rosarito",2019,0.407526105642319
"Baja California","Playas de Rosarito",2020,0.406547427177429
"Baja California","Tecate",2010,0.322364389896393
"Baja California","Tecate",2011,0.328593075275421
"Baja California","Tecate",2013,0.293170839548111
"Baja California","Tecate",2014,0.2537721991539
"Baja California","Tecate",2015,0.294025778770447
"Baja California","Tecate",2016,0.291740953922272
"Baja California","Tecate",2017,0.316179156303406
"Baja California","Tecate",2018,0.271118998527527
"Baja California","Tecate",2019,0.320185273885727
"Baja California","Tecate",2020,0.32432234287262
"Baja California","Tijuana",2010,0.366361081600189
"Baja California","Tijuana",2011,0.370424956083298
"Baja California","Tijuana",2013,0.29865089058876
"Baja California","Tijuana",2014,0.23657737672329
"Baja California","Tijuana",2015,0.306138575077057
"Baja California","Tijuana",2016,0.308963179588318
"Baja California","Tijuana",2017,0.349868267774582
"Baja California","Tijuana",2018,0.263125419616699
