"ano","cve_mun","delitos"
2011,"01001",144.431833891153
2012,"01001",108.566210710128
2013,"01001",81.424658032596
2014,"01001",134.738422220605
2015,"01001",114
2016,"01001",132
2017,"01001",157
2018,"01001",190
2019,"01001",160
2020,"01001",123
2021,"01001",117
2022,"01001",103
2023,"01001",112
2024,"01001",114
2025,"01001",104
2011,"01002",9.69341167054715
2012,"01002",10.6627528376019
2013,"01002",16.4787998399302
2014,"01002",9.69341167054715
2015,"01002",10
2016,"01002",12
2017,"01002",15
2018,"01002",16
2019,"01002",15
2020,"01002",6
2021,"01002",12
2022,"01002",12
2023,"01002",15
2024,"01002",20
2025,"01002",11
2011,"01003",9.69341167054715
2012,"01003",4.84670583527357
2013,"01003",6.785388169383
2014,"01003",11.6320940046566
2015,"01003",11
2016,"01003",14
2017,"01003",12
2018,"01003",11
2019,"01003",12
2020,"01003",11
2021,"01003",13
2022,"01003",19
2023,"01003",12
2024,"01003",9
2025,"01003",7
2011,"01004",3.87736466821886
2012,"01004",3.87736466821886
2013,"01004",2.90802350116414
2014,"01004",4.84670583527357
2015,"01004",4
2016,"01004",2
2017,"01004",5
2018,"01004",4
2019,"01004",1
2020,"01004",6
2021,"01004",4
2022,"01004",7
2023,"01004",6
2024,"01004",5
2025,"01004",5
2011,"01005",16.4787998399302
2012,"01005",18.4174821740396
2013,"01005",19.3868233410943
2014,"01005",20.356164508149
2015,"01005",23
2016,"01005",20
2017,"01005",26
2018,"01005",24
2019,"01005",23
2020,"01005",28
2021,"01005",22
2022,"01005",19
2023,"01005",32
2024,"01005",35
2025,"01005",25
2011,"01006",10.6627528376019
2012,"01006",11.6320940046566
2013,"01006",10.6627528376019
2014,"01006",8.72407050349243
2015,"01006",8
2016,"01006",11
2017,"01006",12
2018,"01006",8
2019,"01006",9
2020,"01006",12
2021,"01006",9
2022,"01006",11
2023,"01006",21
2024,"01006",19
2025,"01006",19
2011,"01007",10.6627528376019
2012,"01007",8.72407050349243
2013,"01007",7.75472933643772
2014,"01007",11.6320940046566
2015,"01007",14
2016,"01007",22
2017,"01007",9
2018,"01007",10
2019,"01007",14
2020,"01007",12
2021,"01007",9
2022,"01007",20
2023,"01007",18
2024,"01007",13
2025,"01007",17
2011,"01008",0
2012,"01008",0.969341167054715
2013,"01008",0.969341167054715
2014,"01008",3.87736466821886
2015,"01008",1
2016,"01008",3
2017,"01008",1
2018,"01008",1
2019,"01008",0
2020,"01008",1
2021,"01008",1
2022,"01008",5
2023,"01008",1
2024,"01008",1
2025,"01008",2
2011,"01009",6.785388169383
2012,"01009",4.84670583527357
2013,"01009",1.93868233410943
2014,"01009",8.72407050349243
2015,"01009",4
2016,"01009",1
2017,"01009",5
2018,"01009",5
2019,"01009",4
2020,"01009",3
2021,"01009",8
2022,"01009",8
2023,"01009",2
2024,"01009",4
2025,"01009",6
2011,"01010",3.87736466821886
2012,"01010",5.81604700232829
2013,"01010",4.84670583527357
2014,"01010",8.72407050349243
2015,"01010",12
2016,"01010",6
2017,"01010",7
2018,"01010",7
2019,"01010",9
2020,"01010",7
2021,"01010",8
2022,"01010",12
2023,"01010",8
2024,"01010",5
2025,"01010",11
2011,"01011",5.81604700232829
2012,"01011",5.81604700232829
2013,"01011",11.6320940046566
2014,"01011",15.5094586728754
2015,"01011",10
2016,"01011",10
2017,"01011",9
2018,"01011",7
2019,"01011",22
2020,"01011",12
2021,"01011",17
2022,"01011",10
2023,"01011",22
2024,"01011",21
2025,"01011",13
2011,"02001",45.5590348515716
2012,"02001",133.769081053551
2013,"02001",98.8727990395809
2014,"02001",147.339857392317
2015,"02001",136
2016,"02001",150
2017,"02001",253
2018,"02001",328
2019,"02001",370
2020,"02001",446
2021,"02001",375
2022,"02001",213
2023,"02001",175
2024,"02001",167
2025,"02001",164
2011,"02002",134.738422220605
2012,"02002",188.052186408615
2013,"02002",179.328115905122
2014,"02002",180.297457072177
2015,"02002",157
2016,"02002",146
2017,"02002",194
2018,"02002",206
2019,"02002",231
2020,"02002",287
2021,"02002",415
2022,"02002",426
2023,"02002",311
2024,"02002",326
2025,"02002",304
2011,"02003",28.1108938445867
2012,"02003",45.5590348515716
2013,"02003",56.2217876891735
2014,"02003",46.5283760186263
2015,"02003",46
2016,"02003",79
2017,"02003",72
2018,"02003",112
2019,"02003",101
2020,"02003",157
2021,"02003",233
2022,"02003",97
2023,"02003",137
2024,"02003",135
2025,"02003",88
2011,"02004",405.184607828871
2012,"02004",350.901502473807
2013,"02004",492.425312863795
2014,"02004",682.416181606519
2015,"02004",813
2016,"02004",1024
2017,"02004",1765
2018,"02004",2392
2019,"02004",2188
2020,"02004",2030
2021,"02004",1969
2022,"02004",2052
2023,"02004",1844
2024,"02004",1754
2025,"02004",1241
2011,"02005",38.7736466821886
2012,"02005",46.5283760186263
2013,"02005",66.8845405267753
2014,"02005",61.068493524447
2015,"02005",67
2016,"02005",104
2017,"02005",146
2018,"02005",131
2019,"02005",175
2020,"02005",147
2021,"02005",156
2022,"02005",139
2023,"02005",89
2024,"02005",76
2025,"02005",68
2021,"02006",77
2022,"02006",48
2023,"02006",52
2024,"02006",58
2025,"02006",74
2022,"02007",18
2023,"02007",11
2024,"02007",26
2025,"02007",33
2011,"03001",2.90802350116414
2012,"03001",8.72407050349243
2013,"03001",3.87736466821886
2014,"03001",4.84670583527357
2015,"03001",4
2016,"03001",15
2017,"03001",25
2018,"03001",16
2019,"03001",14
2020,"03001",13
2021,"03001",17
2022,"03001",16
2023,"03001",14
2024,"03001",17
2025,"03001",61
2011,"03002",7.75472933643772
2012,"03002",15.5094586728754
2013,"03002",13.570776338766
2014,"03002",10.6627528376019
2015,"03002",10
2016,"03002",9
2017,"03002",24
2018,"03002",27
2019,"03002",16
2020,"03002",30
2021,"03002",18
2022,"03002",12
2023,"03002",15
2024,"03002",13
2025,"03002",25
2011,"03003",15.5094586728754
2012,"03003",21.3255056752037
2013,"03003",39.7429878492433
2014,"03003",63.0071758585565
2015,"03003",130
2016,"03003",156
2017,"03003",235
2018,"03003",92
2019,"03003",55
2020,"03003",32
2021,"03003",39
2022,"03003",37
2023,"03003",33
2024,"03003",46
2025,"03003",50
2011,"03008",14.5401175058207
2012,"03008",29.0802350116414
2013,"03008",26.1722115104773
2014,"03008",24.2335291763679
2015,"03008",55
2016,"03008",90
2017,"03008",400
2018,"03008",105
2019,"03008",75
2020,"03008",36
2021,"03008",39
2022,"03008",38
2023,"03008",47
2024,"03008",59
2025,"03008",70
2011,"03009",0
2012,"03009",2.90802350116414
2013,"03009",2.90802350116414
2014,"03009",2.90802350116414
2015,"03009",2
2016,"03009",2
2017,"03009",9
2018,"03009",4
2019,"03009",8
2020,"03009",7
2021,"03009",7
2022,"03009",9
2023,"03009",2
2024,"03009",7
2025,"03009",22
2011,"04001",5.81604700232829
2012,"04001",2.90802350116414
2013,"04001",4.84670583527357
2014,"04001",6.785388169383
2015,"04001",6
2016,"04001",8
2017,"04001",9
2018,"04001",3
2019,"04001",3
2020,"04001",5
2021,"04001",6
2022,"04001",9
2023,"04001",6
2024,"04001",6
2025,"04001",9
2011,"04002",14.5401175058207
2012,"04002",22.2948468422584
2013,"04002",31.9882585128056
2014,"04002",22.2948468422584
2015,"04002",21
2016,"04002",37
2017,"04002",22
2018,"04002",31
2019,"04002",21
2020,"04002",25
2021,"04002",30
2022,"04002",44
2023,"04002",37
2024,"04002",29
2025,"04002",35
2011,"04003",40.712329016298
2012,"04003",35.8656231810244
2013,"04003",40.712329016298
2014,"04003",39.7429878492433
2015,"04003",39
2016,"04003",53
2017,"04003",40
2018,"04003",34
2019,"04003",43
2020,"04003",39
2021,"04003",49
2022,"04003",38
2023,"04003",50
2024,"04003",53
2025,"04003",45
2011,"04004",26.1722115104773
2012,"04004",18.4174821740396
2013,"04004",20.356164508149
2014,"04004",19.3868233410943
2015,"04004",7
2016,"04004",19
2017,"04004",18
2018,"04004",22
2019,"04004",20
2020,"04004",14
2021,"04004",24
2022,"04004",21
2023,"04004",28
2024,"04004",23
2025,"04004",29
2011,"04005",5.81604700232829
2012,"04005",3.87736466821886
2013,"04005",0.969341167054715
2014,"04005",8.72407050349243
2015,"04005",4
2016,"04005",6
2017,"04005",3
2018,"04005",0
2019,"04005",5
2020,"04005",1
2021,"04005",2
2022,"04005",4
2023,"04005",9
2024,"04005",3
2025,"04005",9
2011,"04006",3.87736466821886
2012,"04006",9.69341167054715
2013,"04006",2.90802350116414
2014,"04006",2.90802350116414
2015,"04006",3
2016,"04006",4
2017,"04006",4
2018,"04006",1
2019,"04006",4
2020,"04006",4
2021,"04006",3
2022,"04006",4
2023,"04006",3
2024,"04006",6
2025,"04006",4
2011,"04007",0
2012,"04007",1.93868233410943
2013,"04007",0.969341167054715
2014,"04007",0.969341167054715
2015,"04007",1
2016,"04007",0
2017,"04007",1
2018,"04007",4
2019,"04007",1
2020,"04007",1
2021,"04007",1
2022,"04007",3
2023,"04007",0
2024,"04007",1
2025,"04007",1
2011,"04008",2.90802350116414
2012,"04008",1.93868233410943
2013,"04008",2.90802350116414
2014,"04008",2.90802350116414
2015,"04008",4
2016,"04008",2
2017,"04008",0
2018,"04008",1
2019,"04008",2
2020,"04008",0
2021,"04008",6
2022,"04008",5
2023,"04008",3
2024,"04008",5
2025,"04008",3
2011,"04009",5.81604700232829
2012,"04009",9.69341167054715
2013,"04009",11.6320940046566
2014,"04009",17.4481410069849
2015,"04009",12
2016,"04009",17
2017,"04009",25
2018,"04009",28
2019,"04009",18
2020,"04009",12
2021,"04009",19
2022,"04009",30
2023,"04009",28
2024,"04009",25
2025,"04009",7
2011,"04010",2.90802350116414
2012,"04010",2.90802350116414
2013,"04010",2.90802350116414
2014,"04010",5.81604700232829
2015,"04010",9
2016,"04010",9
2017,"04010",3
2018,"04010",12
2019,"04010",2
2020,"04010",7
2021,"04010",7
2022,"04010",11
2023,"04010",20
2024,"04010",18
2025,"04010",6
2011,"04011",7.75472933643772
2012,"04011",13.570776338766
2013,"04011",12.6014351717113
2014,"04011",15.5094586728754
2015,"04011",12
2016,"04011",12
2017,"04011",17
2018,"04011",19
2019,"04011",15
2020,"04011",14
2021,"04011",20
2022,"04011",29
2023,"04011",22
2024,"04011",15
2025,"04011",14
2021,"04012",5
2022,"04012",5
2023,"04012",10
2024,"04012",6
2025,"04012",15
2021,"04013",0
2022,"04013",0
2023,"04013",0
2024,"04013",7
2025,"04013",2
2012,"05001",0
2013,"05001",1.93868233410943
2014,"05001",0.969341167054715
2015,"05001",0
2016,"05001",0
2017,"05001",0
2018,"05001",0
2019,"05001",0
2020,"05001",0
2021,"05001",0
2022,"05001",0
2023,"05001",0
2024,"05001",0
2025,"05001",0
2011,"05002",23.2641880093132
2012,"05002",35.8656231810244
2013,"05002",24.2335291763679
2014,"05002",40.712329016298
2015,"05002",20
2016,"05002",24
2017,"05002",12
2018,"05002",17
2019,"05002",14
2020,"05002",24
2021,"05002",23
2022,"05002",14
2023,"05002",18
2024,"05002",9
2025,"05002",13
2011,"05003",5.81604700232829
2012,"05003",7.75472933643772
2013,"05003",11.6320940046566
2014,"05003",1.93868233410943
2015,"05003",5
2016,"05003",4
2017,"05003",10
2018,"05003",1
2019,"05003",1
2020,"05003",5
2021,"05003",3
2022,"05003",4
2023,"05003",4
2024,"05003",5
2025,"05003",2
2011,"05004",9.69341167054715
2012,"05004",10.6627528376019
2013,"05004",14.5401175058207
2014,"05004",14.5401175058207
2015,"05004",8
2016,"05004",8
2017,"05004",18
2018,"05004",10
2019,"05004",15
2020,"05004",5
2021,"05004",10
2022,"05004",13
2023,"05004",9
2024,"05004",18
2025,"05004",10
2012,"05005",0
2013,"05005",0
2014,"05005",0
2015,"05005",1
2016,"05005",0
2017,"05005",0
2018,"05005",1
2019,"05005",0
2020,"05005",0
2021,"05005",1
2022,"05005",0
2023,"05005",0
2024,"05005",2
2025,"05005",1
2011,"05006",4.84670583527357
2012,"05006",16.4787998399302
2013,"05006",9.69341167054715
2014,"05006",13.570776338766
2015,"05006",7
2016,"05006",2
2017,"05006",6
2018,"05006",4
2019,"05006",9
2020,"05006",6
2021,"05006",2
2022,"05006",12
2023,"05006",4
2024,"05006",5
2025,"05006",4
2011,"05007",4.84670583527357
2012,"05007",5.81604700232829
2013,"05007",4.84670583527357
2014,"05007",2.90802350116414
2015,"05007",4
2016,"05007",3
2017,"05007",2
2018,"05007",4
2019,"05007",0
2020,"05007",2
2021,"05007",1
2022,"05007",2
2023,"05007",2
2024,"05007",4
2025,"05007",2
2012,"05008",0
2013,"05008",1.93868233410943
2014,"05008",0.969341167054715
2015,"05008",0
2016,"05008",1
2017,"05008",0
2018,"05008",1
2019,"05008",0
2020,"05008",2
2021,"05008",0
2022,"05008",1
2023,"05008",2
2024,"05008",1
2025,"05008",2
2011,"05009",15.5094586728754
2012,"05009",14.5401175058207
2013,"05009",18.4174821740396
2014,"05009",8.72407050349243
2015,"05009",6
2016,"05009",12
2017,"05009",9
2018,"05009",9
2019,"05009",10
2020,"05009",4
2021,"05009",8
2022,"05009",8
2023,"05009",4
2024,"05009",5
2025,"05009",5
2011,"05010",20.356164508149
2012,"05010",8.72407050349243
2013,"05010",17.4481410069849
2014,"05010",11.6320940046566
2015,"05010",11
2016,"05010",7
2017,"05010",8
2018,"05010",1
2019,"05010",9
2020,"05010",7
2021,"05010",5
2022,"05010",7
2023,"05010",8
2024,"05010",6
2025,"05010",7
2011,"05011",7.75472933643772
2012,"05011",0.969341167054715
2013,"05011",8.72407050349243
2014,"05011",12.6014351717113
2015,"05011",7
2016,"05011",11
2017,"05011",5
2018,"05011",5
2019,"05011",15
2020,"05011",4
2021,"05011",11
2022,"05011",12
2023,"05011",11
2024,"05011",11
2025,"05011",7
2012,"05012",1.93868233410943
2013,"05012",2.90802350116414
2014,"05012",2.90802350116414
2015,"05012",1
2016,"05012",1
2017,"05012",0
2018,"05012",1
2019,"05012",2
2020,"05012",4
2021,"05012",4
2022,"05012",3
2023,"05012",2
2024,"05012",1
2025,"05012",0
2012,"05013",0
2013,"05013",0
2014,"05013",3.87736466821886
2015,"05013",0
2016,"05013",1
2017,"05013",0
2018,"05013",1
2019,"05013",1
2020,"05013",0
2021,"05013",2
2022,"05013",0
2023,"05013",3
2024,"05013",1
2025,"05013",1
2012,"05014",0.969341167054715
2013,"05014",2.90802350116414
2014,"05014",4.84670583527357
2015,"05014",5
2016,"05014",0
2017,"05014",1
2018,"05014",1
2019,"05014",0
2020,"05014",1
2021,"05014",3
2022,"05014",3
2023,"05014",1
2024,"05014",3
2025,"05014",2
2012,"05015",0.969341167054715
2013,"05015",0
2014,"05015",1.93868233410943
2015,"05015",1
2016,"05015",0
2017,"05015",0
2018,"05015",0
2019,"05015",1
2020,"05015",1
2021,"05015",0
2022,"05015",1
2023,"05015",2
2024,"05015",0
2025,"05015",0
2012,"05016",0.969341167054715
2013,"05016",0.969341167054715
2014,"05016",0.969341167054715
2015,"05016",0
2016,"05016",0
2017,"05016",0
2018,"05016",0
2019,"05016",0
2020,"05016",0
2021,"05016",1
2022,"05016",0
2023,"05016",1
2024,"05016",1
2025,"05016",0
2011,"05017",31.9882585128056
2012,"05017",42.6510113504075
2013,"05017",59.1298111903376
2014,"05017",19.3868233410943
2015,"05017",15
2016,"05017",20
2017,"05017",28
2018,"05017",28
2019,"05017",21
2020,"05017",13
2021,"05017",10
2022,"05017",24
2023,"05017",25
2024,"05017",17
2025,"05017",14
2011,"05018",35.8656231810244
2012,"05018",39.7429878492433
2013,"05018",57.1911288562282
2014,"05018",60.0991523573923
2015,"05018",36
2016,"05018",36
2017,"05018",20
2018,"05018",35
2019,"05018",24
2020,"05018",22
2021,"05018",23
2022,"05018",16
2023,"05018",24
2024,"05018",22
2025,"05018",12
2012,"05019",0
2013,"05019",0
2014,"05019",1.93868233410943
2015,"05019",2
2016,"05019",2
2017,"05019",2
2018,"05019",0
2019,"05019",3
2020,"05019",2
2021,"05019",1
2022,"05019",0
2023,"05019",1
2024,"05019",1
2025,"05019",1
2011,"05020",7.75472933643772
2012,"05020",15.5094586728754
2013,"05020",11.6320940046566
2014,"05020",14.5401175058207
2015,"05020",7
2016,"05020",10
2017,"05020",11
2018,"05020",9
2019,"05020",10
2020,"05020",12
2021,"05020",6
2022,"05020",4
2023,"05020",5
2024,"05020",6
2025,"05020",6
2012,"05021",1.93868233410943
2013,"05021",0
2014,"05021",1.93868233410943
2015,"05021",0
2016,"05021",1
2017,"05021",1
2018,"05021",0
2019,"05021",0
2020,"05021",1
2021,"05021",1
2022,"05021",0
2023,"05021",0
2024,"05021",1
2025,"05021",2
2012,"05022",3.87736466821886
2013,"05022",6.785388169383
2014,"05022",7.75472933643772
2015,"05022",9
2016,"05022",7
2017,"05022",8
2018,"05022",8
2019,"05022",1
2020,"05022",5
2021,"05022",3
2022,"05022",3
2023,"05022",3
2024,"05022",4
2025,"05022",4
2011,"05023",0
2012,"05023",0.969341167054715
2013,"05023",1.93868233410943
2014,"05023",1.93868233410943
2015,"05023",1
2016,"05023",2
2017,"05023",2
2018,"05023",0
2019,"05023",2
2020,"05023",4
2021,"05023",0
2022,"05023",4
2023,"05023",0
2024,"05023",0
2025,"05023",0
2011,"05024",9.69341167054715
2012,"05024",15.5094586728754
2013,"05024",12.6014351717113
2014,"05024",8.72407050349243
2015,"05024",17
2016,"05024",18
2017,"05024",10
2018,"05024",17
2019,"05024",15
2020,"05024",11
2021,"05024",12
2022,"05024",14
2023,"05024",23
2024,"05024",10
2025,"05024",6
2011,"05025",23.2641880093132
2012,"05025",35.8656231810244
2013,"05025",43.6203525174622
2014,"05025",35.8656231810244
2015,"05025",31
2016,"05025",32
2017,"05025",36
2018,"05025",34
2019,"05025",23
2020,"05025",29
2021,"05025",19
2022,"05025",23
2023,"05025",26
2024,"05025",24
2025,"05025",26
2012,"05026",1.93868233410943
2013,"05026",2.90802350116414
2014,"05026",0
2015,"05026",1
2016,"05026",1
2017,"05026",1
2018,"05026",0
2019,"05026",1
2020,"05026",0
2021,"05026",0
2022,"05026",1
2023,"05026",1
2024,"05026",4
2025,"05026",0
2011,"05027",20.356164508149
2012,"05027",21.3255056752037
2013,"05027",34.8962820139697
2014,"05027",27.141552677532
2015,"05027",22
2016,"05027",16
2017,"05027",19
2018,"05027",16
2019,"05027",19
2020,"05027",21
2021,"05027",27
2022,"05027",22
2023,"05027",36
2024,"05027",43
2025,"05027",34
2011,"05028",17.4481410069849
2012,"05028",17.4481410069849
2013,"05028",30.0495761786962
2014,"05028",16.4787998399302
2015,"05028",15
2016,"05028",13
2017,"05028",14
2018,"05028",13
2019,"05028",10
2020,"05028",9
2021,"05028",6
2022,"05028",10
2023,"05028",6
2024,"05028",9
2025,"05028",3
2012,"05029",0
2013,"05029",0
2014,"05029",0.969341167054715
2015,"05029",0
2016,"05029",0
2017,"05029",0
2018,"05029",0
2019,"05029",1
2020,"05029",0
2021,"05029",0
2022,"05029",0
2023,"05029",1
2024,"05029",0
2025,"05029",1
2011,"05030",141.523810389988
2012,"05030",152.18656322759
2013,"05030",142.493151557043
2014,"05030",111.474234211292
2015,"05030",97
2016,"05030",68
2017,"05030",67
2018,"05030",81
2019,"05030",75
2020,"05030",73
2021,"05030",72
2022,"05030",105
2023,"05030",96
2024,"05030",106
2025,"05030",68
2011,"05031",3.87736466821886
2012,"05031",2.90802350116414
2013,"05031",4.84670583527357
2014,"05031",6.785388169383
2015,"05031",6
2016,"05031",4
2017,"05031",2
2018,"05031",1
2019,"05031",1
2020,"05031",1
2021,"05031",1
2022,"05031",3
2023,"05031",1
2024,"05031",1
2025,"05031",0
2011,"05032",6.785388169383
2012,"05032",4.84670583527357
2013,"05032",3.87736466821886
2014,"05032",8.72407050349243
2015,"05032",4
2016,"05032",7
2017,"05032",3
2018,"05032",2
2019,"05032",8
2020,"05032",3
2021,"05032",2
2022,"05032",4
2023,"05032",2
2024,"05032",2
2025,"05032",3
2011,"05033",21.3255056752037
2012,"05033",31.9882585128056
2013,"05033",70.7619051949942
2014,"05033",13.570776338766
2015,"05033",15
2016,"05033",21
2017,"05033",18
2018,"05033",29
2019,"05033",13
2020,"05033",12
2021,"05033",21
2022,"05033",16
2023,"05033",15
2024,"05033",15
2025,"05033",11
2012,"05034",0.969341167054715
2013,"05034",1.93868233410943
2014,"05034",0
2015,"05034",1
2016,"05034",0
2017,"05034",1
2018,"05034",0
2019,"05034",3
2020,"05034",0
2021,"05034",0
2022,"05034",0
2023,"05034",0
2024,"05034",0
2025,"05034",0
2011,"05035",505.996089202561
2012,"05035",520.536206708382
2013,"05035",300.495761786962
2014,"05035",233.611221260186
2015,"05035",172
2016,"05035",139
2017,"05035",156
2018,"05035",142
2019,"05035",130
2020,"05035",93
2021,"05035",73
2022,"05035",61
2023,"05035",64
2024,"05035",58
2025,"05035",52
2012,"05036",3.87736466821886
2013,"05036",8.72407050349243
2014,"05036",1.93868233410943
2015,"05036",5
2016,"05036",4
2017,"05036",2
2018,"05036",5
2019,"05036",6
2020,"05036",5
2021,"05036",4
2022,"05036",0
2023,"05036",2
2024,"05036",3
2025,"05036",6
2012,"05037",0
2013,"05037",0
2014,"05037",1.93868233410943
2015,"05037",1
2016,"05037",0
2017,"05037",0
2018,"05037",2
2019,"05037",2
2020,"05037",3
2021,"05037",2
2022,"05037",1
2023,"05037",1
2024,"05037",0
2025,"05037",0
2011,"05038",1.93868233410943
2012,"05038",6.785388169383
2013,"05038",4.84670583527357
2014,"05038",2.90802350116414
2015,"05038",2
2016,"05038",1
2017,"05038",4
2018,"05038",1
2019,"05038",4
2020,"05038",6
2021,"05038",4
2022,"05038",1
2023,"05038",4
2024,"05038",1
2025,"05038",0
2011,"06001",34.8962820139697
2012,"06001",40.712329016298
2013,"06001",24.2335291763679
2014,"06001",12.6014351717113
2015,"06001",9
2016,"06001",41
2017,"06001",64
2018,"06001",63
2019,"06001",71
2020,"06001",56
2021,"06001",36
2022,"06001",33
2023,"06001",18
2024,"06001",18
2025,"06001",25
2011,"06002",60.0991523573923
2012,"06002",71.7312463620489
2013,"06002",45.5590348515716
2014,"06002",22.2948468422584
2015,"06002",41
2016,"06002",120
2017,"06002",139
2018,"06002",104
2019,"06002",127
2020,"06002",100
2021,"06002",120
2022,"06002",319
2023,"06002",283
2024,"06002",270
2025,"06002",164
2011,"06003",4.84670583527357
2012,"06003",7.75472933643772
2013,"06003",0
2014,"06003",5.81604700232829
2015,"06003",4
2016,"06003",8
2017,"06003",6
2018,"06003",6
2019,"06003",10
2020,"06003",6
2021,"06003",14
2022,"06003",27
2023,"06003",26
2024,"06003",15
2025,"06003",19
2011,"06004",1.93868233410943
2012,"06004",12.6014351717113
2013,"06004",6.785388169383
2014,"06004",5.81604700232829
2015,"06004",1
2016,"06004",10
2017,"06004",22
2018,"06004",30
2019,"06004",21
2020,"06004",16
2021,"06004",20
2022,"06004",25
2023,"06004",41
2024,"06004",31
2025,"06004",14
2011,"06005",9.69341167054715
2012,"06005",6.785388169383
2013,"06005",7.75472933643772
2014,"06005",11.6320940046566
2015,"06005",14
2016,"06005",23
2017,"06005",16
2018,"06005",10
2019,"06005",25
2020,"06005",14
2021,"06005",17
2022,"06005",23
2023,"06005",46
2024,"06005",39
2025,"06005",42
2011,"06006",4.84670583527357
2012,"06006",4.84670583527357
2013,"06006",4.84670583527357
2014,"06006",0
2015,"06006",1
2016,"06006",1
2017,"06006",6
2018,"06006",13
2019,"06006",7
2020,"06006",5
2021,"06006",1
2022,"06006",5
2023,"06006",2
2024,"06006",1
2025,"06006",1
2011,"06007",45.5590348515716
2012,"06007",57.1911288562282
2013,"06007",68.8232228608847
2014,"06007",31.9882585128056
2015,"06007",82
2016,"06007",183
2017,"06007",251
2018,"06007",245
2019,"06007",304
2020,"06007",310
2021,"06007",249
2022,"06007",189
2023,"06007",266
2024,"06007",308
2025,"06007",301
2011,"06008",0
2012,"06008",3.87736466821886
2013,"06008",1.93868233410943
2014,"06008",2.90802350116414
2015,"06008",3
2016,"06008",2
2017,"06008",1
2018,"06008",5
2019,"06008",9
2020,"06008",6
2021,"06008",4
2022,"06008",12
2023,"06008",6
2024,"06008",2
2025,"06008",3
2011,"06009",48.4670583527357
2012,"06009",117.29028121362
2013,"06009",63.0071758585565
2014,"06009",38.7736466821886
2015,"06009",52
2016,"06009",181
2017,"06009",242
2018,"06009",221
2019,"06009",162
2020,"06009",94
2021,"06009",71
2022,"06009",60
2023,"06009",94
2024,"06009",54
2025,"06009",33
2011,"06010",26.1722115104773
2012,"06010",44.5896936845169
2013,"06010",12.6014351717113
2014,"06010",16.4787998399302
2015,"06010",15
2016,"06010",28
2017,"06010",42
2018,"06010",29
2019,"06010",44
2020,"06010",50
2021,"06010",88
2022,"06010",208
2023,"06010",154
2024,"06010",139
2025,"06010",104
2011,"07001",3.87736466821886
2012,"07001",4.84670583527357
2013,"07001",3.87736466821886
2014,"07001",3.87736466821886
2015,"07001",7
2016,"07001",8
2017,"07001",7
2018,"07001",11
2019,"07001",13
2020,"07001",9
2021,"07001",5
2022,"07001",7
2023,"07001",10
2024,"07001",6
2025,"07001",15
2011,"07002",5.81604700232829
2012,"07002",11.6320940046566
2013,"07002",4.84670583527357
2014,"07002",6.785388169383
2015,"07002",4
2016,"07002",5
2017,"07002",5
2018,"07002",3
2019,"07002",5
2020,"07002",3
2021,"07002",2
2022,"07002",1
2023,"07002",3
2024,"07002",1
2025,"07002",0
2011,"07003",9.69341167054715
2012,"07003",10.6627528376019
2013,"07003",9.69341167054715
2014,"07003",8.72407050349243
2015,"07003",15
2016,"07003",11
2017,"07003",9
2018,"07003",6
2019,"07003",11
2020,"07003",7
2021,"07003",14
2022,"07003",12
2023,"07003",11
2024,"07003",5
2025,"07003",7
2011,"07004",6.785388169383
2012,"07004",11.6320940046566
2013,"07004",3.87736466821886
2014,"07004",9.69341167054715
2015,"07004",8
2016,"07004",5
2017,"07004",9
2018,"07004",4
2019,"07004",4
2020,"07004",4
2021,"07004",1
2022,"07004",4
2023,"07004",3
2024,"07004",10
2025,"07004",2
2011,"07005",4.84670583527357
2012,"07005",4.84670583527357
2013,"07005",1.93868233410943
2014,"07005",1.93868233410943
2015,"07005",4
2016,"07005",3
2017,"07005",1
2018,"07005",1
2019,"07005",4
2020,"07005",4
2021,"07005",3
2022,"07005",3
2023,"07005",3
2024,"07005",1
2025,"07005",2
2011,"07006",0.969341167054715
2012,"07006",0
2013,"07006",10.6627528376019
2014,"07006",1.93868233410943
2015,"07006",2
2016,"07006",0
2017,"07006",3
2018,"07006",3
2019,"07006",11
2020,"07006",6
2021,"07006",8
2022,"07006",9
2023,"07006",2
2024,"07006",2
2025,"07006",7
2011,"07007",3.87736466821886
2012,"07007",0.969341167054715
2013,"07007",1.93868233410943
2014,"07007",1.93868233410943
2015,"07007",0
2016,"07007",0
2017,"07007",3
2018,"07007",1
2019,"07007",4
2020,"07007",0
2021,"07007",0
2022,"07007",0
2023,"07007",0
2024,"07007",0
2025,"07007",0
2011,"07008",5.81604700232829
2012,"07008",6.785388169383
2013,"07008",12.6014351717113
2014,"07008",18.4174821740396
2015,"07008",10
2016,"07008",5
2017,"07008",8
2018,"07008",3
2019,"07008",12
2020,"07008",4
2021,"07008",1
2022,"07008",7
2023,"07008",4
2024,"07008",7
2025,"07008",5
2011,"07009",21.3255056752037
2012,"07009",17.4481410069849
2013,"07009",24.2335291763679
2014,"07009",32.9575996798603
2015,"07009",28
2016,"07009",29
2017,"07009",26
2018,"07009",17
2019,"07009",14
2020,"07009",21
2021,"07009",16
2022,"07009",29
2023,"07009",22
2024,"07009",18
2025,"07009",9
2011,"07010",0
2012,"07010",1.93868233410943
2013,"07010",3.87736466821886
2014,"07010",0
2015,"07010",2
2016,"07010",1
2017,"07010",1
2018,"07010",2
