NAME_1,NAME_2,year,ndvi_mean,pob_tot,pob_mas,pob_fem,cve_mun,cve_ent,delitos,n_encuestados,prop_inseguro,n_valido_percepcion,prop_espera_empeorar,n_valido_expectativa,prop_atestiguo_alguno,indice_atestiguo,n_valido_atestiguo,prop_cambio_habito,indice_habito,n_valido_habito
Aguascalientes,Aguascalientes,2013,0.364079624414444,948990,462073,486917,1001,01,81.424658032596,78,0.7948717948717948,78,0.2435897435897436,78,0.8974358974358975,2.2564102564102564,78,0.8589743589743589,1.6025641025641026,78
Aguascalientes,Aguascalientes,2014,0.362469881772995,948990,462073,486917,1001,01,134.738422220605,167,0.7724550898203593,167,0.2694610778443114,167,0.9101796407185628,2.221556886227545,167,0.8263473053892215,1.5748502994011973,167
Aguascalientes,Aguascalientes,2015,0.382637500762939,948990,462073,486917,1001,01,114,179,0.7430167597765364,179,0.4022346368715084,179,0.8268156424581006,2.525139664804469,179,0.6256983240223464,1.4413407821229045,179
Aguascalientes,Aguascalientes,2016,0.364492416381836,948990,462073,486917,1001,01,132,976,0.5097636176772867,973,0.3138075313807531,956,0.8360655737704918,2.785641025641026,975,0.6721311475409836,1.525231719876416,971
Aguascalientes,Aguascalientes,2017,0.358869940042496,948990,462073,486917,1001,01,157,994,0.5674044265593562,994,0.31947261663286003,986,0.8189134808853119,2.706237424547284,994,0.6277665995975855,1.427565392354124,994
Aguascalientes,Aguascalientes,2018,0.395820438861847,948990,462073,486917,1001,01,190,992,0.5868686868686869,990,0.2822085889570552,978,0.8306451612903226,2.950554994954591,991,0.6360887096774194,1.455005055611729,989
Aguascalientes,Aguascalientes,2019,0.346695870161057,948990,462073,486917,1001,01,160,1013,0.5308764940239044,1004,0.2578046324269889,993,0.788746298124383,2.5326086956521747,1012,0.6219151036525172,1.402571711177052,1011
Aguascalientes,Aguascalientes,2020,0.343184292316437,948990,462073,486917,1001,01,123,754,0.5099601593625498,753,0.3703208556149733,748,0.7984084880636605,2.6286472148541105,754,0.6061007957559682,1.3917662682602927,753
Aguascalientes,Jesús María,2013,0.391197353601456,129929,64219,65710,1005,01,19.3868233410943,8,0.5,8,0.125,8,0.5,1.375,8,0.75,1.375,8
Aguascalientes,Jesús María,2014,0.377967298030853,129929,64219,65710,1005,01,20.356164508149,12,0.8333333333333334,12,0.08333333333333333,12,1,2.1666666666666665,12,0.8333333333333334,1.8333333333333333,12
Aguascalientes,Jesús María,2015,0.408349961042404,129929,64219,65710,1005,01,23,4,0,4,0.25,4,0.75,2.75,4,0,0,4
Aguascalientes,Jesús María,2016,0.395123660564423,129929,64219,65710,1005,01,20,69,0.5882352941176471,68,0.2923076923076923,65,0.9420289855072465,3.0434782608695654,69,0.7681159420289855,1.6376811594202898,69
Aguascalientes,Jesús María,2017,0.385406345129013,129929,64219,65710,1005,01,26,72,0.6111111111111112,72,0.3055555555555556,72,0.9444444444444444,3.333333333333333,72,0.5833333333333334,1.5555555555555558,72
Aguascalientes,Jesús María,2018,0.423220455646515,129929,64219,65710,1005,01,24,69,0.6521739130434783,69,0.30434782608695654,69,0.8695652173913043,3.231884057971014,69,0.5507246376811594,1.2898550724637683,69
Aguascalientes,Jesús María,2019,0.374252885580063,129929,64219,65710,1005,01,23,74,0.6081081081081081,74,0.28378378378378377,74,0.8243243243243243,2.945945945945946,74,0.5,1.0810810810810811,74
Aguascalientes,Jesús María,2020,0.37609675526619,129929,64219,65710,1005,01,28,53,0.6037735849056604,53,0.3962264150943397,53,0.9056603773584906,3.4716981132075477,53,0.5660377358490566,1.207547169811321,53
Baja California,Mexicali,2016,0.143778890371323,1049792,529248,520544,2002,02,146,1010,0.6517857142857143,1008,0.32028112449799195,996,0.8495049504950495,2.834653465346535,1010,0.7910891089108911,1.8897715988083417,1007
Baja California,Mexicali,2017,0.147894293069839,1049792,529248,520544,2002,02,194,1035,0.8077294685990338,1035,0.4644595910418695,1027,0.8608695652173913,3.028073572120041,1033,0.6869565217391305,1.640579710144927,1035
Baja California,Mexicali,2018,0.14502614736557,1049792,529248,520544,2002,02,206,1012,0.751730959446093,1011,0.3079268292682927,984,0.8488142292490118,2.9495548961424354,1011,0.7924901185770751,1.9129574678536108,1011
Baja California,Mexicali,2019,0.152184203267097,1049792,529248,520544,2002,02,231,1036,0.6356589147286822,1032,0.1881091617933723,1026,0.8233590733590733,2.952702702702703,1036,0.8108108108108109,2.0357833655705995,1034
Baja California,Mexicali,2020,0.144036650657654,1049792,529248,520544,2002,02,287,783,0.6176470588235294,782,0.24516129032258063,775,0.7905491698595147,2.423273657289003,782,0.7828863346104725,1.865211810012837,779
Baja California,Tijuana,2013,0.29865089058876,1922523,968740,953783,2004,02,492.425312863795,83,0.5975609756097561,82,0.19753086419753085,81,0.8072289156626506,2.397590361445784,83,0.7108433734939759,1.2771084337349397,83
Baja California,Tijuana,2014,0.23657737672329,1922523,968740,953783,2004,02,682.416181606519,168,0.5272727272727272,165,0.25903614457831325,166,0.7261904761904762,1.9047619047619044,168,0.6726190476190477,1.2142857142857142,168
Baja California,Tijuana,2015,0.306138575077057,1922523,968740,953783,2004,02,813,167,0.7005988023952096,167,0.294478527607362,163,0.7365269461077845,2.119760479041916,167,0.7664670658682635,1.4790419161676644,167
Baja California,Tijuana,2016,0.308963179588318,1922523,968740,953783,2004,02,1024,1018,0.6344621513944223,1004,0.33707865168539325,979,0.787819253438114,2.716110019646366,1018,0.7642436149312377,1.7706057596822231,1007
Baja California,Tijuana,2017,0.349868267774582,1922523,968740,953783,2004,02,1765,1048,0.7636363636363637,1045,0.48579823702252695,1021,0.8864503816793893,3.319961795606494,1047,0.7595419847328244,1.8932038834951448,1030
